iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CHE","CHEMED CORP","EQUITY","Health Care","Equity","274,794,352.99","0.35","274,794,352.99","459,653.00","597.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTN","VAIL RESORTS INC","EQUITY","Consumer Discretionary","Equity","273,154,850.80","0.34","273,154,850.80","1,162,460.00","234.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPX","TEMPUR SEALY INTERNATIONAL INC","EQUITY","Consumer Discretionary","Equity","272,975,890.00","0.34","272,975,890.00","5,257,625.00","51.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","EQUITY","Utilities","Equity","269,440,495.56","0.34","269,440,495.56","7,669,812.00","35.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","EQUITY","Information Technology","Equity","267,313,449.40","0.34","267,313,449.40","1,497,890.00","178.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRI","PRIMERICA INC","EQUITY","Financials","Equity","267,230,154.60","0.34","267,230,154.60","1,069,220.00","249.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ERIE","ERIE INDEMNITY CLASS A","EQUITY","Financials","Equity","266,040,720.82","0.33","266,040,720.82","761,182.00","349.51","United States","NASDAQ","USD","1.00","USD","-"
"JLL","JONES LANG LASALLE INC","EQUITY","Real Estate","Equity","265,591,127.89","0.33","265,591,127.89","1,451,873.00","182.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXP","EAGLE MATERIALS INC","EQUITY","Materials","Equity","264,765,663.09","0.33","264,765,663.09","1,064,727.00","248.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSD","SIMPSON MANUFACTURING INC","EQUITY","Industrials","Equity","260,413,106.96","0.33","260,413,106.96","1,302,326.00","199.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNW","LIGHT WONDER INC","EQUITY","Consumer Discretionary","Equity","257,361,344.35","0.32","257,361,344.35","2,748,119.00","93.65","United States","NASDAQ","USD","1.00","USD","-"
"GNTX","GENTEX CORP","EQUITY","Consumer Discretionary","Equity","256,842,010.48","0.32","256,842,010.48","7,118,681.00","36.08","United States","NASDAQ","USD","1.00","USD","-"
"WWD","WOODWARD INC","EQUITY","Industrials","Equity","256,778,450.28","0.32","256,778,450.28","1,843,878.00","139.26","United States","NASDAQ","USD","1.00","USD","-"
"ALV","AUTOLIV INC","EQUITY","Consumer Discretionary","Equity","256,724,095.68","0.32","256,724,095.68","2,285,649.00","112.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EGP","EASTGROUP PROPERTIES REIT INC","EQUITY","Real Estate","Equity","255,823,078.62","0.32","255,823,078.62","1,413,934.00","180.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHDN","CHURCHILL DOWNS INC","EQUITY","Consumer Discretionary","Equity","254,565,703.68","0.32","254,565,703.68","2,071,661.00","122.88","United States","NASDAQ","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","EQUITY","Health Care","Equity","254,159,485.00","0.32","254,159,485.00","1,921,375.00","132.28","United States","NASDAQ","USD","1.00","USD","-"
"AFG","AMERICAN FINANCIAL GROUP INC","EQUITY","Financials","Equity","251,480,851.70","0.32","251,480,851.70","1,994,297.00","126.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CACI","CACI INTERNATIONAL INC CLASS A","EQUITY","Industrials","Equity","251,130,080.16","0.32","251,130,080.16","679,906.00","369.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIDD","MIDDLEBY CORP","EQUITY","Industrials","Equity","250,850,592.74","0.32","250,850,592.74","1,635,911.00","153.34","United States","NASDAQ","USD","1.00","USD","-"
